server_id,server_name,resource_type,power_state,os_type,os_name,os_version,primary_hostname,primary_ip_address,netmask,total_num_network_cards,total_num_disks,cpu_count,total_memory_gb,server_uuid,smbios_uuid,cluster_name,hypervisor_object_id,hypervisor_type,hypervisor_version,hypervisor_hostname,hypervisor_host_id,hypervisor_id,disk_read_iops_avg,disk_read_iops_p95,disk_read_iops_peak,disk_write_iops_avg,disk_write_iops_p95,disk_write_iops_peak,disk_total_iops_avg,disk_total_iops_p95,disk_total_iops_peak,disk_read_throughput_avg_mibps,disk_read_throughput_p95_mibps,disk_read_throughput_peak_mibps,disk_write_throughput_avg_mibps,disk_write_throughput_p95_mibps,disk_write_throughput_peak_mibps,disk_total_throughput_avg_mibps,disk_total_throughput_p95_mibps,disk_total_throughput_peak_mibps,notes,environment
import_0705e40e-dd07-5423-b3ca-e8cea03e8c1c,mq-01,virtual_machine,Running,Linux,Amazon Linux,2023,mq-01,10.70.1.32,255.255.255.0,1,1,2,1.86,,,,,Amazon EC2,,,,,0.0,0.0,0.0,9.111111,48.0,76.0,9.111111,48.0,76.0,0.0,0.0,0.0,0.907556,4.88674,8.0977,0.907556,4.88674,8.0977,,
import_0b6b01c5-d120-5bce-8c8f-d8a57805bc35,EC2AMAZ-K9LQ97Q,virtual_machine,Running,Windows,Microsoft Windows Server 2022 Datacenter,10.0.20348,EC2AMAZ-K9LQ97Q.WORKGROUP,10.70.1.51,255.255.255.0,1,1,2,1.96,EC2C092C-944A-88FC-A700-62CCC761E24C,ec2c092c-944a-88fc-a700-62ccc761e24c,,,Amazon EC2,,,,,237.941258,1154.733001,1628.32492836728,1.994349,5.305524,6.03455810389357,239.935607,1158.987608,1634.3594864711736,1.47745,6.04504,6.3606,0.031088,0.123905,0.1301,1.50855,6.130965,6.4908,,
import_3e51316c-c467-5519-b24b-939f6f02b8d7,EC2AMAZ-HVB61P6,virtual_machine,Running,Windows,Microsoft Windows Server 2022 Datacenter,10.0.20348,EC2AMAZ-HVB61P6.WORKGROUP,10.40.0.125,255.255.255.0,1,1,2,3.94,EC2B0476-7DB8-9E13-9568-10C469880EC3,ec2b0476-7db8-9e13-9568-10c469880ec3,,,Amazon EC2,,,,,102.51456,194.777663,205.029119039907,2.943002,5.591703,5.88600341741358,105.457561,200.369366,210.91512245732056,1.48995,2.830905,2.9799,0.0939,0.17841,0.1878,1.58385,3.009315,3.1677,,
import_44784c54-26eb-5f62-98a6-b1770a879c26,ip-10-40-0-108,virtual_machine,Running,Linux,Ubuntu,22.04.5 LTS (Jammy Jellyfish),ip-10-40-0-108.ec2.internal,10.40.0.108,255.255.255.0,1,1,2,1.87,,,,,Amazon EC2,,,,,4.46,8.474,8.92,0.0,0.0,0.0,4.46,8.474,8.92,0.11225,0.213275,0.2245,0.0,0.0,0.0,0.11225,0.213275,0.2245,,
import_4d2ba2dd-1c65-54c9-8961-706f9bc2c716,cache-01,virtual_machine,Running,Linux,Amazon Linux,2023,cache-01,10.70.1.31,255.255.255.0,1,1,2,1.86,,,,,Amazon EC2,,,,,0.0,0.0,0.0,11.357778,47.388,50.5,11.357778,47.388,50.5,0.0,0.0,0.0,1.189389,5.37906,5.6505,1.189389,5.37906,5.6505,,
import_7a60d1e0-995a-53c0-84e3-58df40793c90,nfs-01,virtual_machine,Running,Linux,Amazon Linux,2023,nfs-01,10.70.1.33,255.255.255.0,1,1,2,1.86,,,,,Amazon EC2,,,,,0.0,0.0,0.0,4.111111,21.0,33.0,4.111111,21.0,33.0,0.0,0.0,0.0,0.509111,2.74062,4.5469,0.509111,2.74062,4.5469,,
import_99b69105-fed0-5c04-8b6a-54651a9c3e47,ci-01,virtual_machine,Running,Linux,Amazon Linux,2023,ci-01,10.70.1.41,255.255.255.0,1,1,2,1.86,,,,,Amazon EC2,,,,,0.0,0.0,0.0,1.111111,4.8,6.0,1.111111,4.8,6.0,0.0,0.0,0.0,0.013022,0.0586,0.0742,0.013022,0.0586,0.0742,,
import_a30b55c1-0587-5029-839d-71f30905225f,finance-batch-01,virtual_machine,Running,Linux,Amazon Linux,2023,finance-batch-01,10.70.1.22,255.255.255.0,1,1,2,1.86,,,,,Amazon EC2,,,,,0.0,0.0,0.0,1.0,4.8,6.0,1.0,4.8,6.0,0.0,0.0,0.0,0.011278,0.05466,0.0703,0.011278,0.05466,0.0703,,
import_a8961f84-8e64-5327-9ea6-a9cdcb181127,ip-10-40-10-96.ec2.internal,virtual_machine,Running,Linux,Amazon Linux,2023,ip-10-40-10-96.ec2.internal,10.40.10.96,255.255.255.0,3,1,2,3.75,,,,,Amazon EC2,,,,,7.0,13.3,14.0,32.5,61.75,65.0,39.5,75.05,79.0,0.166,0.3154,0.332,3.20705,6.093395,6.4141,3.37305,6.408795,6.7461,,
import_bf97cd90-d6c9-550e-9ca9-4bea1c402677,ip-10-50-0-232.ec2.internal,virtual_machine,Running,Linux,Amazon Linux,2023,ip-10-50-0-232.ec2.internal,10.50.0.232,255.255.255.0,1,1,2,1.86,,,,,Amazon EC2,,,,,4.333333,23.4,39.0,0.777778,3.6,4.0,5.111111,27.0,43.0,0.171011,0.92346,1.5391,0.009556,0.04456,0.0508,0.180556,0.96796,1.5898,,
import_da2c6743-6a4f-54db-9c8d-5227933d64fd,catalog-svc-01,virtual_machine,Running,Linux,Amazon Linux,2023,catalog-svc-01,10.70.1.21,255.255.255.0,1,1,2,1.86,,,,,Amazon EC2,,,,,0.0,0.0,0.0,0.666667,3.0,3.0,0.666667,3.0,3.0,0.0,0.0,0.0,0.007378,0.0336,0.0352,0.007378,0.0336,0.0352,,
import_e0b56d26-039f-508a-af2f-774aba6ec4f8,ip-10-50-10-208.ec2.internal,virtual_machine,Running,Linux,Amazon Linux,2023,ip-10-50-10-208.ec2.internal,10.50.10.208,255.255.255.0,3,1,2,3.75,,,,,Amazon EC2,,,,,7.666667,41.4,69.0,2.777778,8.6,9.0,10.444444,49.8,77.0,0.323356,1.74612,2.9102,0.033422,0.09848,0.1016,0.356767,1.84454,3.0117,,
